staffNo,fName,lName,gender,birthday
1,Dana ,Cain,F,1983-11-03
2,Lynn,Drake,F,1970-09-20
3,Greg,Larson,M,1982-01-20
4,Rachael,Weber,F,1982-01-20
5,Lynette,Martin,F,1971-06-30
6,Darla,Sandoval,F,1977-11-07
7,Jacqueline,Bryant,F,1980-03-30
8,Preston,Burgess,M,1947-09-21
9,Marshall,Roberson,M,1974-05-20
10,Kelvin,Mills,M,1989-10-08
11,Harry ,Sparks,M,1969-01-25
12,Ed,Johnson,M,1956-01-03
13,Jeffery,Vasquez,M,1990-05-06
14,Alejandro ,Roy,M,1954-03-31
15,Ross,Gilbert,M,1957-08-10
16,Suzanne,Harmon,F,1947-07-22
17,SHeldon ,Klein,M,1956-10-06
18,Henrietta,Cox,F,1955-07-23
19,Toni,Meyers,F,1991-02-12
20,Linda,Mack,F,1989-07-28
21,Edmund,Shaw,M,1967-05-05
22,Laurence,Francis,M,1976-10-20
23,Lowell,McDonald,M,1979-06-05
24,Allison,Boyd,F,1956-07-26
25,Kathryn ,Beck,F,1959-11-05
26,Max,Spencer,M,1984-02-20
27,Travis ,Clark,M,1977-12-20
28,Matthew,Wade,M,1968-06-26
29,Taylor,Rhodes,F,1979-02-25
30,Jerald,Lindsey,M,1990-12-21
31,Hazel ,Washington,F,1968-10-27
32,Alan,Hogan,M,1976-08-01
33,Lee,Fox,M,1984-01-31
34,Guadalupe,Adams,F,1954-10-04
35,Juana,Griffth,F,1968-03-19
36,Craig,Harvey,M,1989-09-08
37,Lorraine,Ortiz,F,1978-07-08
38,Beluah,Hawkins,F,1953-03-07
39,Roger,Graves,M,1980-04-01
40,Shawn,Moody,M,1973-09-05
41,Terrance,Collins,M,1990-03-26
42,Mona,Castillo,F,1947-06-20
43,Brenda,Wood,F,1981-10-23
44,Jeanne,Rodgers,F,1978-09-10
45,Milton,Townsend,M,1978-07-02
46,Deanna,Price,F,1972-05-10
47,Horace,Simmons,M,1984-04-13
48,Patrick,Gonzales,M,1968-10-28
49,Eloise,Cummings,F,1953-12-24
50,Michael ,Jacobs,M,1963-03-26
51,Caroline ,Padilla,F,1959-12-15
52,Erika,Wong,F,1974-04-09
53,Ada,Henderson,F,1978-04-20
54,Rodney,Becker,M,1969-09-14
55,Lorenzo,Saunders,M,1965-04-02
56,Jo,Hampton,F,1977-12-13
57,Dixie,Lloyd,F,1954-02-16
58,Stephanie,Vargas,F,1948-01-07
59,Pat,Austin,M,1959-08-15
60,Jan,Figueroa,F,1980-06-12
61,Jack ,Wilkerson,M,1949-05-20
62,Dallas,Craig,M,1984-02-02
63,Tammy,Hughes,F,1985-08-16
64,Jonathon,Hart,M,1961-10-08
65,Veronica,Cannon,F,1981-01-15
