studentNo,fName,lName,gender,Program,address,inResidence,highschool,transcript,academicStanding,birthday
1,Olivia,Devonte,F,Software Engineering,"5813 Silver Farm, Blue Tent, Ontario, K8F-5Z3, CA",0,"Abbey Park High School, Oakville, Ontario","Olivia, Devonte, 5813 Silver Farm, Blue Tent, Ontario, K8F-5Z3, CA, 1, 2002-07-24, Software Engineering, Abbey Park High School, Oakville, Ontario, ",Clear,2002-07-24
2,Liam,Angie,M,Software Engineering,"7011 Stony Field, Boiling Point, Ontario, K7V-1J8, CA",1,"Abbey Park High School, Oakville, Ontario","Liam, Angie, 7011 Stony Field, Boiling Point, Ontario, K7V-1J8, CA, 2, 1992-10-10, Software Engineering, Abbey Park High School, Oakville, Ontario, ",Clear ,1992-10-10
3,Emma,Davon,F,Software Engineering,"6837 Rocky Lake Wood, Ojai, Ontario, L7A-4T1, CA",0,"Abbey Park High School, Oakville, Ontario","Emma, Davon, 6837 Rocky Lake Wood, Ojai, Ontario, L7A-4T1, CA, 3, 1999-02-13, Software Engineering, Abbey Park High School, Oakville, Ontario, ",Clear,1999-02-13
4,Noah,Carlie,M,Software Engineering,"764 Shady Leaf Cape, Solvang, Ontario, M8N-2X9, CA",1,"Mississauga Secondary School, Mississauga, Ontario","Noah, Carlie, 764 Shady Leaf Cape, Solvang, Ontario, M8N-2X9, CA, 4, 2003-08-22, Software Engineering, Mississauga Secondary School, Mississauga, Ontario, ",Clear ,2003-08-22
5,Amelia,Pierce,F,Electrical Engineering,"8983 Little Lagoon Parade, Ultra, Ontario, N9Z-1G1, CA",0,"Mississauga Secondary School, Mississauga, Ontario","Amelia, Pierce, 8983 Little Lagoon Parade, Ultra, Ontario, N9Z-1G1, CA, 5, 1997-07-02, Electrical Engineering, Mississauga Secondary School, Mississauga, Ontario, ",Clear,1997-07-02
6,Oliver,Malia,F,Electrical Engineering,"9354 Jagged Subdivision, Montezuma, Ontario, L9X-5E4, CA",0,"John Fraser Secondary School, Mississauga, Ontario","Oliver, Malia, 9354 Jagged Subdivision, Montezuma, Ontario, L9X-5E4, CA, 6, 1987-06-13, Electrical Engineering, John Fraser Secondary School, Mississauga, Ontario, ",Clear ,1987-06-13
7,Ava,Ramiro,M,Electrical Engineering,"9178 Quiet Brook Square, Three Rocks, Ontario, M2P-8T5, CA",0,"John Fraser Secondary School, Mississauga, Ontario","Ava, Ramiro, 9178 Quiet Brook Square, Three Rocks, Ontario, M2P-8T5, CA, 7, 1986-04-26, Electrical Engineering, John Fraser Secondary School, Mississauga, Ontario, ",Clear,1986-04-26
8,Elijah,Alanna,F,Mechatronics Engineering,"1615 Wishing Quay, Hoh, Ontario, L1M-9I5, CA",0,"John Fraser Secondary School, Mississauga, Ontario","Elijah, Alanna, 1615 Wishing Quay, Hoh, Ontario, L1M-9I5, CA, 8, 2002-07-22, Mechatronics Engineering, John Fraser Secondary School, Mississauga, Ontario, ",Clear ,2002-07-22
9,Sophia,Neil,M,Mechatronics Engineering,"3602 Indian Horse End, Semiahmoo, Ontario, K2K-7V9, CA",0,"White Oaks High School, Oakville, Ontario","Sophia, Neil, 3602 Indian Horse End, Semiahmoo, Ontario, K2K-7V9, CA, 9, 1997-08-21, Mechatronics Engineering, White Oaks High School, Oakville, Ontario, ",Clear,1997-08-21
10,Lucas,Jayden,F,Software Engineering,"9125 Burning Forest, Waiilatpo, Ontario, L7I-9N3, CA",0,"White Oaks High School, Oakville, Ontario","Lucas, Jayden, 9125 Burning Forest, Waiilatpo, Ontario, L7I-9N3, CA, 10, 1989-11-30, Software Engineering, White Oaks High School, Oakville, Ontario, ",Clear ,1989-11-30
